ID,NAME,X,Y,CITY
1,洪奇沥,113.581591,22.620129,广州市
2,蕉门,113.652321,22.63637,广州市
3,鸦岗,113.1827421,23.2215793,广州市
4,墩头基,113.5050956,23.0486717,广州市
5,流溪河山庄,113.5543892,23.5192419,广州市
6,沙湾水厂,113.3414749,22.89559983,广州市
7,官坦,113.47436,22.902086,广州市
8,人和,113.2994731,23.3399092,广州市
9,大龙涌口,113.435174,22.916872,广州市
10,增江口,113.7508361,23.137592,广州市
11,东塱,113.2588,23.0663,广州市
12,长洲,113.4059306,23.086825,广州市
13,大墩,113.6696664,23.1272361,"广州市,东莞市"
14,莲花山,113.5157462,23.0144424,"广州市,东莞市"
15,十里亭,113.54087,24.8205525,韶关市
16,南水水库,113.2185354,24.7774516,韶关市
17,长坝,113.6629591,24.8644092,韶关市
18,孟洲坝电站,113.533446,24.7355656,韶关市
19,孔江水库上游,114.6852,25.322,韶关市
20,河坪,114.434306,25.155306,韶关市
21,墨江出口,114.022222,24.981667,韶关市
22,丹霞山,113.711987,25.0203521,韶关市
23,三溪桥,112.8705943,25.2818037,韶关市
24,马头福水,114.373402,24.139354,韶关市
25,高桥,113.5778355,24.5103028,韶关市
26,西湖村,114.4186855,22.780398,深圳市
27,深圳河口,114.0360444,22.50653889,深圳市
28,南沙湾断面,113.488434,22.23043896,珠海市
29,石角咀水闸,113.52757,22.20928,珠海市
30,鸡啼门大桥,113.264556,22.085111,珠海市
31,尖峰大桥,113.314444,22.187778,珠海市
32,珠海大桥,113.409171,22.1864714,"珠海市,中山市"
33,升平,116.65805,23.35371944,汕头市
34,地都,116.5267278,23.44064444,汕头市
35,莲阳桥闸,116.7713428,23.49130799,汕头市
36,青洋山桥,116.3153667,23.30455833,汕头市
37,海门湾桥闸,116.6154028,23.21873611,汕头市
38,外砂,116.754413,23.44777066,汕头市
39,隆都,116.7159194,23.55935278,汕头市
40,北江水厂,112.9005377,23.3688619,佛山市
41,羊额水厂,113.186944,22.8925,佛山市
42,高明水厂,112.8728293,22.921371,佛山市
43,乌洲,113.2588081,22.9002508,"佛山市,广州市"
44,平洲,113.212297,23.04208933,"佛山市,广州市"
45,古劳,112.9472222,22.83777778,"佛山市,江门市"
46,下东,113.0418708,22.8109327,"佛山市,江门市"
47,篁边,113.0910635,22.63671086,江门市
48,新沙,113.1747497,22.48541015,江门市
49,恩城水厂,112.2921583,22.20113016,江门市
50,牛湾,112.858333,22.458333,江门市
51,苍山渡口,113.0833297,22.22478815,江门市
52,赤坎水厂（塘口取水口）,110.306488,21.3002072,湛江市
53,黄坡,110.6226437,21.34654209,湛江市
54,大山江,110.783089,21.446281,湛江市
55,排里,110.0654262,21.5037131,湛江市
56,南渡河桥,110.04508,20.88496,湛江市
57,营仔,110.001532,21.483112,湛江市
58,山角,110.2920488,21.91699958,湛江市
59,渠首,110.311208,21.707907,湛江市
60,塘口,110.8403842,21.5121455,茂名市
61,石碧,110.8176485,21.55558313,茂名市
62,江口门,110.6637,21.5356,茂名市
63,良德水库,110.98208,22.14702,茂名市
64,石骨水库,111.01726,22.03482,茂名市
65,森高排污口,111.017,21.5195,茂名市
66,电力局排海口,110.9955,21.5057,茂名市
67,寨头河出海口,111.0329,21.5381,茂名市
68,飞马桥,110.8760418,21.5622188,茂名市
69,米急渡,110.8104786,21.9163294,茂名市
70,铜鼓电站,110.9514152,22.4764749,茂名市
71,五马岗,112.7670908,23.2925086,肇庆市
72,白沙街,111.8042353,23.8115586,肇庆市
73,梁村,112.8104952,23.17506247,肇庆市
74,永安,112.6664696,23.1752162,肇庆市
75,黄岗,112.5123157,23.0604229,肇庆市
76,封开城上,111.462128,23.461788,肇庆市
77,都骑,112.1558481,23.07452251,"肇庆市,云浮市"
78,古封,111.5634993,23.27357058,"肇庆市,云浮市"
79,六都水厂上游,111.978454,23.097485,"肇庆市,云浮市"
80,九龙潭,113.9188889,23.48608889,惠州市
81,博罗城下(新角),114.249155,23.150007,惠州市
82,惠州汝湖,114.4828,23.1808,惠州市
83,马安大桥下,114.4997806,23.038233,惠州市
84,紫溪,114.4759399,23.0143686,惠州市
85,沙河河口(里波水）,113.889879,23.118917,惠州市
86,公庄河口（泰美）,114.4840351,23.3414297,惠州市
87,上垟,114.4167583,22.71909722,惠州市
